date,title,time,type
2025-01-06,Kids Karate Class,4:00 PM,Class
2025-01-08,Adult Beginner Karate,6:00 PM,Class
2025-01-10,Advanced Karate Training,7:30 PM,Class
2025-01-13,Weapons Training,5:30 PM,Class
2025-01-15,Sparring Practice,7:00 PM,Training
2025-01-17,Black Belt Testing,6:00 PM,Testing
2025-01-20,Kids Karate Class,4:00 PM,Class
2025-01-22,Self-Defense Workshop,6:30 PM,Workshop
2025-01-24,Kata Competition Practice,7:00 PM,Training
2025-01-27,Adult Beginner Karate,6:00 PM,Class
2025-01-29,Advanced Karate Training,7:30 PM,Class
2025-02-03,Kids Karate Class,4:00 PM,Class
2025-02-05,Adult Beginner Karate,6:00 PM,Class
2025-02-07,Advanced Karate Training,7:30 PM,Class
2025-02-10,Weapons Training,5:30 PM,Class
2025-02-12,Sparring Practice,7:00 PM,Training
2025-02-14,Valentine's Day Tournament,2:00 PM,Tournament
2025-02-17,Kids Karate Class,4:00 PM,Class
2025-02-19,Self-Defense Workshop,6:30 PM,Workshop
2025-02-21,Kata Competition Practice,7:00 PM,Training
2025-02-24,Adult Beginner Karate,6:00 PM,Class
2025-02-26,Advanced Karate Training,7:30 PM,Class
2025-03-03,Kids Karate Class,4:00 PM,Class
2025-03-05,Adult Beginner Karate,6:00 PM,Class
2025-03-07,Advanced Karate Training,7:30 PM,Class
2025-03-10,Weapons Training,5:30 PM,Class
2025-03-12,Sparring Practice,7:00 PM,Training
2025-03-15,Belt Promotion Ceremony,1:00 PM,Ceremony
2025-03-17,Kids Karate Class,4:00 PM,Class
2025-03-19,Self-Defense Workshop,6:30 PM,Workshop
2025-03-21,Kata Competition Practice,7:00 PM,Training
2025-03-24,Adult Beginner Karate,6:00 PM,Class
2025-03-26,Advanced Karate Training,7:30 PM,Class
2025-04-07,Kids Karate Class,4:00 PM,Class
2025-04-09,Adult Beginner Karate,6:00 PM,Class
2025-04-11,Advanced Karate Training,7:30 PM,Class
2025-04-14,Weapons Training,5:30 PM,Class
2025-04-16,Sparring Practice,7:00 PM,Training
2025-04-19,Spring Tournament,10:00 AM,Tournament
2025-04-21,Kids Karate Class,4:00 PM,Class
2025-04-23,Self-Defense Workshop,6:30 PM,Workshop
2025-04-25,Kata Competition Practice,7:00 PM,Training
2025-04-28,Adult Beginner Karate,6:00 PM,Class
2025-04-30,Advanced Karate Training,7:30 PM,Class
2025-05-05,Kids Karate Class,4:00 PM,Class
2025-05-07,Adult Beginner Karate,6:00 PM,Class
2025-05-09,Advanced Karate Training,7:30 PM,Class
2025-05-12,Weapons Training,5:30 PM,Class
2025-05-14,Sparring Practice,7:00 PM,Training
2025-05-17,Black Belt Testing,6:00 PM,Testing
2025-05-19,Kids Karate Class,4:00 PM,Class
2025-05-21,Self-Defense Workshop,6:30 PM,Workshop
2025-05-23,Kata Competition Practice,7:00 PM,Training
2025-05-26,Memorial Day Demo,11:00 AM,Demo
2025-05-28,Advanced Karate Training,7:30 PM,Class
2025-06-02,Kids Karate Class,4:00 PM,Class
2025-06-04,Adult Beginner Karate,6:00 PM,Class
2025-06-06,Advanced Karate Training,7:30 PM,Class
2025-06-09,Weapons Training,5:30 PM,Class
2025-06-11,Sparring Practice,7:00 PM,Training
2025-06-14,Summer Kickoff Event,3:00 PM,Event
2025-06-16,Kids Karate Class,4:00 PM,Class
2025-06-18,Self-Defense Workshop,6:30 PM,Workshop
2025-06-20,Kata Competition Practice,7:00 PM,Training
2025-06-23,Adult Beginner Karate,6:00 PM,Class
2025-06-25,Advanced Karate Training,7:30 PM,Class
2025-07-07,Kids Karate Class,4:00 PM,Class
2025-07-09,Adult Beginner Karate,6:00 PM,Class
2025-07-11,Advanced Karate Training,7:30 PM,Class
2025-07-14,Weapons Training,5:30 PM,Class
2025-07-16,Sparring Practice,7:00 PM,Training
2025-07-19,Summer Tournament,9:00 AM,Tournament
2025-07-21,Kids Karate Class,4:00 PM,Class
2025-07-23,Self-Defense Workshop,6:30 PM,Workshop
2025-07-25,Kata Competition Practice,7:00 PM,Training
2025-07-28,Adult Beginner Karate,6:00 PM,Class
2025-07-30,Advanced Karate Training,7:30 PM,Class